"Points:0","Points:1","Points:2","U:0","U:1","U:2","cp","p"
0.21269,0.5125,-0.24228,0,0,0,-33.721,119.16
0.29954,0.51226,-0.23459,0,0,0,-33.803,-127.44
0.29954,0.49989,-0.23494,0,0,0,-33.799,-113.34
0.31189,0.49984,-0.23391,0,0,0,-33.801,-119.59
0.31189,0.51218,-0.23347,0,0,0,-33.805,-131.81
-0.89988,0.60022,-0.24311,0,0,0,-33.849,-264.66
-0.89992,0.61245,-0.24354,0,0,0,-33.866,-315.98
-0.88753,0.6123,-0.24522,0,0,0,-33.826,-194.55
-0.88746,0.6002,-0.24452,0,0,0,-33.801,-121.35
-0.79988,0.59808,-0.25203,0,0,0,-33.615,439.3
-0.8001,0.60787,-0.25725,0,0,0,-33.619,427.02
-0.78741,0.60763,-0.25661,0,0,0,-33.621,421.16
-0.78729,0.59799,-0.25112,0,0,0,-33.615,438.76
1.1125,0.008808,-0.125,0,0,0,-33.932,-514.32
1.1,0.0090864,-0.125,0,0,0,-33.914,-457.99
1.1,0.0090846,-0.10937,0,0,0,-33.913,-454.89
1.1125,0.0088074,-0.10938,0,0,0,-33.932,-512.84
0.90043,0.10174,-0.12869,0,0,0,-33.64,362.44
0.90227,0.097848,-0.11924,0,0,0,-33.664,292.24
0.91347,0.0972,-0.11571,0,0,0,-33.611,448.66
0.91352,0.10323,-0.1205,0,0,0,-33.557,611.99
0.91265,0.10595,-0.12901,0,0,0,-33.59,511.64
1.1994,0.20138,-0.12188,0,0,0,-33.565,588.13
1.2014,0.19908,-0.11096,0,0,0,-33.573,563.15
1.2061,0.20209,-0.10668,0,0,0,-33.535,679.14
1.2069,0.21262,-0.10835,0,0,0,-33.489,814.79
1.2014,0.21261,-0.12173,0,0,0,-33.539,666.89
1.0989,0.30205,-0.12353,0,0,0,-33.662,297.62
1.1118,0.29608,-0.12359,0,0,0,-33.657,313.34
1.1119,0.29895,-0.10873,0,0,0,-33.622,418
1.0996,0.30457,-0.10873,0,0,0,-33.646,345.8
0.59929,0.50043,-0.12492,0,0,0,-33.714,141.1
0.61253,0.49689,-0.12488,0,0,0,-33.774,-40.103
0.61256,0.49701,-0.10934,0,0,0,-33.768,-20.437
0.59933,0.50054,-0.10934,0,0,0,-33.713,143.53
-1.9,0.70085,-0.12614,0,0,0,-33.762,-3.1711
-1.8897,0.70309,-0.12872,0,0,0,-33.763,-5.6019
-1.886,0.70989,-0.12291,0,0,0,-33.763,-6.7695
-1.8893,0.71395,-0.11241,0,0,0,-33.762,-4.6583
-1.8996,0.71187,-0.10975,0,0,0,-33.762,-2.728
1.1125,0.0088131,2.6356e-08,0,0,0,-33.93,-507.4
1.1,0.0090913,8.1942e-08,0,0,0,-33.908,-441.6
1.1,0.0090911,0.015625,0,0,0,-33.908,-441.31
1.1125,0.0088129,0.015625,0,0,0,-33.93,-507.04
0.9006,0.10132,-5.6104e-11,0,0,0,-33.672,265.91
0.9006,0.10132,0.015623,0,0,0,-33.671,269.06
0.91256,0.10547,0.015623,0,0,0,-33.68,242.91
0.91256,0.10547,-7.5131e-11,0,0,0,-33.681,239.48
1.0997,0.30623,-1.9799e-08,0,0,0,-33.615,436.57
1.1115,0.30092,-7.4507e-08,0,0,0,-33.586,524.18
1.1115,0.30092,0.015624,0,0,0,-33.586,523.72
1.0997,0.30623,0.015625,0,0,0,-33.615,436.53
0.59935,0.50056,-1.3033e-07,0,0,0,-33.712,147.98
0.61257,0.49702,-9.407e-08,0,0,0,-33.74,62.056
0.61257,0.49702,0.015625,0,0,0,-33.741,58.874
0.59935,0.50056,0.015625,0,0,0,-33.711,148.67
-1.7993,0.80439,-1.1628e-06,0,0,0,-33.746,44.111
-1.7874,0.8102,-5.6199e-07,0,0,0,-33.75,33.408
-1.787,0.80929,0.015513,0,0,0,-33.751,30.74
-1.799,0.80335,0.015592,0,0,0,-33.747,41.363
-1.2989,0.99713,1.1274e-06,0,0,0,-34.093,-995.96
-1.2872,0.99893,-1.4824e-06,0,0,0,-34.111,-1050.8
-1.2871,0.99768,0.014582,0,0,0,-34.116,-1064.8
-1.2993,0.99566,0.01474,0,0,0,-34.071,-929.16
1.1125,0.008808,0.125,0,0,0,-33.932,-514.22
1.1,0.0090864,0.125,0,0,0,-33.913,-455.98
1.1,0.0090884,0.14062,0,0,0,-33.914,-459.14
1.1125,0.0088088,0.14062,0,0,0,-33.933,-516.22
0.90043,0.10174,0.12869,0,0,0,-33.636,375.83
0.90009,0.10271,0.14125,0,0,0,-33.65,332.72
0.9124,0.10701,0.14137,0,0,0,-33.631,390.13
0.91265,0.10595,0.12901,0,0,0,-33.587,523.11
1.1994,0.20138,0.12188,0,0,0,-33.558,607.56
1.1941,0.20188,0.13416,0,0,0,-33.583,532.83
1.1948,0.21283,0.13471,0,0,0,-33.571,569.92
1.2014,0.21262,0.12174,0,0,0,-33.531,689.49
1.0989,0.30205,0.12353,0,0,0,-33.66,301.54
1.1118,0.29608,0.12359,0,0,0,-33.654,319.53
1.1096,0.29402,0.1355,0,0,0,-33.675,256.93
1.0987,0.29639,0.1377,0,0,0,-33.695,197.04
0.59929,0.50043,0.12492,0,0,0,-33.715,138.62
0.61253,0.49688,0.12488,0,0,0,-33.775,-41.255
0.61244,0.4964,0.14033,0,0,0,-33.785,-72.758
0.59922,0.49993,0.14043,0,0,0,-33.718,128.37
-1.5998,0.81308,0.12728,0,0,0,-33.855,-281.21
-1.5898,0.81462,0.12902,0,0,0,-33.858,-289.88
-1.5862,0.80991,0.13787,0,0,0,-33.864,-308.49
-1.5896,0.80192,0.14382,0,0,0,-33.861,-299.98
-1.5996,0.80038,0.14229,0,0,0,-33.858,-290.75
0.099905,0.0045039,0.24359,0,0,0,-33.712,147.51
0.099835,0.014417,0.24936,0,0,0,-33.702,177.8
0.11228,0.014615,0.24875,0,0,0,-33.714,141.37
0.11238,0.0048002,0.24334,0,0,0,-33.721,119.02
1.1125,0.0088154,0.25,0,0,0,-33.936,-524.3
1.1,0.0090912,0.25,0,0,0,-33.919,-474.9
1.1,0.0090939,0.26562,0,0,0,-33.919,-475.46
1.1125,0.0088173,0.26562,0,0,0,-33.936,-524.22
-2,0.10122,0.2438,0,0,0,-33.761,0.91323
-2,0.11311,0.24568,0,0,0,-33.761,1.176
-1.9872,0.11297,0.24678,0,0,0,-33.76,2.5868
-1.9875,0.10059,0.24509,0,0,0,-33.76,2.2237
-1.9002,0.10028,0.25744,0,0,0,-33.741,59.83
-1.9002,0.11257,0.25791,0,0,0,-33.743,53.966
-1.8878,0.11259,0.25981,0,0,0,-33.738,68.365
-1.8877,0.10028,0.25921,0,0,0,-33.734,79.34
0.09979,0.099995,0.25297,0,0,0,-33.654,320.86
0.099808,0.11248,0.25324,0,0,0,-33.63,393.06
0.11225,0.11247,0.25268,0,0,0,-33.687,221.93
0.1122,0.099987,0.25202,0,0,0,-33.695,199.28
-2,0.2,0.24669,0,0,0,-33.758,9.0599
-2,0.2125,0.24668,0,0,0,-33.757,10.723
-1.9871,0.2125,0.24748,0,0,0,-33.756,14.23
-1.9871,0.2,0.24749,0,0,0,-33.757,12.348
-1.9003,0.19997,0.2582,0,0,0,-33.734,79.85
-1.9003,0.21248,0.25817,0,0,0,-33.735,79.195
-1.8879,0.21248,0.26002,0,0,0,-33.734,81.355
-1.8879,0.19994,0.26009,0,0,0,-33.734,81.71
0.099821,0.19994,0.25324,0,0,0,-33.547,642.18
0.099798,0.21248,0.25297,0,0,0,-33.574,561.12
0.11221,0.21245,0.25202,0,0,0,-33.605,467.78
0.11227,0.19987,0.25267,0,0,0,-33.585,528.34
-2,0.3,0.24669,0,0,0,-33.756,13.982
-2,0.3125,0.24669,0,0,0,-33.756,14.611
-1.9871,0.3125,0.24749,0,0,0,-33.755,18.024
-1.9871,0.3,0.24749,0,0,0,-33.755,16.813
-1.9003,0.3,0.2584,0,0,0,-33.746,44.146
-1.9003,0.31247,0.25839,0,0,0,-33.745,46.948
-1.8881,0.31243,0.26054,0,0,0,-33.75,32.038
-1.8881,0.30003,0.26054,0,0,0,-33.749,35.955
0.099784,0.3,0.25287,0,0,0,-33.561,600.51
0.099784,0.3125,0.25287,0,0,0,-33.57,571.81
0.11221,0.31249,0.25192,0,0,0,-33.548,639.03
0.11221,0.3,0.25192,0,0,0,-33.534,680.53
0.20518,0.30014,0.25682,0,0,0,-34.269,-1524
0.20819,0.30076,0.26848,0,0,0,-34.261,-1501.5
0.20819,0.31093,0.26847,0,0,0,-34.146,-1156
-2,0.3988,0.25645,0,0,0,-33.759,5.707
-2,0.41048,0.26466,0,0,0,-33.76,3.0987
-1.9868,0.40877,0.26436,0,0,0,-33.75,33.483
-1.9871,0.39841,0.25663,0,0,0,-33.751,30.629
-1.9016,0.39654,0.26071,0,0,0,-33.692,205.66
-1.9008,0.40475,0.26883,0,0,0,-33.69,211.61
-1.8889,0.39826,0.26959,0,0,0,-33.703,174.6
-1.8927,0.39494,0.26296,0,0,0,-33.7,181.58
0.099782,0.4,0.25285,0,0,0,-33.667,281.69
0.099781,0.4125,0.25285,0,0,0,-33.674,261.76
0.11218,0.4125,0.25175,0,0,0,-33.684,229.62
0.11218,0.4,0.25175,0,0,0,-33.679,247.08
0.099781,0.5,0.25285,0,0,0,-33.709,156.85
0.09978,0.51249,0.25284,0,0,0,-33.713,143.37
0.11218,0.51249,0.25175,0,0,0,-33.719,125.35
0.11218,0.5,0.25175,0,0,0,-33.715,137.89
0.00034644,0.59856,0.2517,0,0,0,-33.722,116.84
-5.5111e-05,0.60968,0.24405,0,0,0,-33.734,81.962
0.012246,0.60851,0.24348,0,0,0,-33.748,38.513
0.012519,0.59841,0.25019,0,0,0,-33.729,94.628
1.1125,0.0088065,0.375,0,0,0,-33.934,-520.44
1.1,0.0090828,0.375,0,0,0,-33.918,-472.63
1.1,0.0090866,0.39062,0,0,0,-33.917,-469.17
1.1125,0.0088108,0.39062,0,0,0,-33.933,-517.2
-1.8996,0.30113,0.37335,0,0,0,-33.747,41.351
-1.9044,0.30105,0.3898,0,0,0,-33.75,31.754
-1.9045,0.31043,0.38979,0,0,0,-33.752,27.053
-1.8996,0.31037,0.37334,0,0,0,-33.754,22.302
0.41414,0.30135,0.39187,0,0,0,-33.761,-1.3001
0.41813,0.3011,0.37573,0,0,0,-33.724,109.51
0.41815,0.3104,0.37573,0,0,0,-33.75,32.829
0.41415,0.3101,0.39187,0,0,0,-33.794,-99.254
1.1125,0.0088105,0.5,0,0,0,-33.929,-504.35
1.1,0.0090868,0.5,0,0,0,-33.911,-450.65
1.1,0.0090851,0.51562,0,0,0,-33.908,-442.85
1.1125,0.0088087,0.51562,0,0,0,-33.927,-497.91
-0.4877,0.1125,0.50038,0,0,0,-33.586,526.29
-0.4877,0.10001,0.50037,0,0,0,-33.599,484.98
-0.50085,0.10001,0.51482,0,0,0,-33.615,436.72
-0.50085,0.1125,0.51483,0,0,0,-33.601,480.4
-0.4877,0.2125,0.50038,0,0,0,-33.552,625.83
-0.4877,0.2,0.50038,0,0,0,-33.551,630.8
-0.50085,0.2,0.51483,0,0,0,-33.563,592.67
-0.50085,0.2125,0.51483,0,0,0,-33.565,587.84
-0.49968,0.31501,0.5008,0,0,0,-33.842,-243.58
-0.49105,0.31142,0.49603,0,0,0,-33.802,-123.92
-0.48928,0.30003,0.49819,0,0,0,-33.725,108.46
-0.50227,0.29991,0.51262,0,0,0,-33.746,43.682
-0.50405,0.31123,0.51063,0,0,0,-33.823,-184.85
-1.7898,0.017845,0.62569,0,0,0,-33.817,-167.14
-1.8017,0.0093218,0.62591,0,0,0,-33.874,-340.63
-1.8014,0.0086656,0.64096,0,0,0,-33.844,-250.11
-1.7893,0.017389,0.64092,0,0,0,-33.798,-110.58
-1.3992,0.005827,0.62379,0,0,0,-34.016,-765.8
-1.3996,0.014379,0.63794,0,0,0,-33.806,-136.64
-1.3893,0.012996,0.64166,0,0,0,-33.853,-275.45
-1.3853,0.0066275,0.63708,0,0,0,-33.977,-648.75
-1.3867,0.0036079,0.62407,0,0,0,-34.057,-889.62
1.1125,0.0087272,0.62501,0,0,0,-33.889,-384.54
1.1,0.0090015,0.62501,0,0,0,-33.871,-329.2
1.1,0.0086974,0.6407,0,0,0,-33.859,-293.55
1.1125,0.0084352,0.6407,0,0,0,-33.875,-342.74
-1.6953,0.19991,0.62575,0,0,0,-33.514,740.39
-1.6943,0.19984,0.64087,0,0,0,-33.526,703.78
-1.6928,0.21202,0.64087,0,0,0,-33.55,634.22
-1.694,0.21228,0.62544,0,0,0,-33.534,680.17
-1.699,0.29941,0.62604,0,0,0,-33.678,247.95
-1.6983,0.29942,0.64099,0,0,0,-33.652,327.63
-1.7008,0.31179,0.64099,0,0,0,-33.65,332.97
-1.7015,0.31162,0.62608,0,0,0,-33.673,262.87
-1.8021,0.010655,0.76385,0,0,0,-34.143,-1145.9
-1.7901,0.018623,0.76359,0,0,0,-34.153,-1177.6
-1.7894,0.017653,0.74922,0,0,0,-34.036,-825.16
-1.8016,0.0090476,0.74929,0,0,0,-34.032,-813.86
-1.0999,0.0056788,0.74953,0,0,0,-33.976,-644.86
-1.0998,0.014523,0.76345,0,0,0,-34.024,-788.97
-1.0874,0.014037,0.76406,0,0,0,-34.009,-744.54
-1.0874,0.0052807,0.7499,0,0,0,-33.97,-627.21
-1,0.0043295,0.75074,0,0,0,-33.991,-691.28
-0.99999,0.012893,0.76547,0,0,0,-34.037,-828.3
-0.98749,0.013027,0.76528,0,0,0,-34.046,-855.46
-0.9875,0.0044514,0.75063,0,0,0,-33.999,-713.65
-0.90036,0.0066309,0.74765,0,0,0,-34.127,-1098
-0.9001,0.015259,0.75988,0,0,0,-34.19,-1288
-0.88914,0.016093,0.75962,0,0,0,-34.257,-1488.4
-0.88557,0.01245,0.75124,0,0,0,-34.318,-1671.7
-0.88924,0.006367,0.74632,0,0,0,-34.233,-1417.9
-0.80059,0.10001,0.75447,0,0,0,-34.067,-918.26
-0.80059,0.1125,0.75448,0,0,0,-34.065,-911.4
-0.78828,0.1125,0.7505,0,0,0,-34.079,-953.7
-0.78828,0.10001,0.7505,0,0,0,-34.083,-965.33
-1.6951,0.19988,0.74961,0,0,0,-33.636,375.4
-1.6976,0.19988,0.76451,0,0,0,-33.724,112.29
-1.6967,0.21214,0.76515,0,0,0,-33.702,176.21
-1.6938,0.21226,0.74991,0,0,0,-33.611,449.2
-0.80059,0.2,0.75448,0,0,0,-34.037,-828.02
-0.80059,0.2125,0.75448,0,0,0,-34.029,-805.09
-0.78828,0.2125,0.7505,0,0,0,-34.035,-823.65
-0.78828,0.2,0.7505,0,0,0,-34.044,-848.39
-1.6989,0.29942,0.74925,0,0,0,-33.508,760.57
-1.7008,0.29947,0.76382,0,0,0,-33.535,677.89
-1.7028,0.31162,0.76342,0,0,0,-33.536,675.55
-1.7013,0.31179,0.74917,0,0,0,-33.499,786.42
-0.80075,0.29956,0.7518,0,0,0,-33.997,-709.14
-0.80047,0.31199,0.74798,0,0,0,-34.057,-887.71
-0.7892,0.3109,0.74546,0,0,0,-34.118,-1072.6
-0.78825,0.29975,0.74774,0,0,0,-34.029,-803.47
-1.8021,0.010655,-0.76385,0,0,0,-34.139,-1135.3
-1.8137,0.0017553,-0.76446,0,0,0,-34.384,-1868.6
-1.8129,0.00010713,-0.74943,0,0,0,-34.26,-1498.2
-1.0999,0.0056672,-0.74952,0,0,0,-33.975,-641.83
-1.0998,0.014511,-0.76345,0,0,0,-34.022,-784.42
-1.1124,0.015074,-0.7627,0,0,0,-34.033,-817.77
-1.1123,0.0060622,-0.74902,0,0,0,-33.996,-704.48
-1.0874,0.0052718,-0.7499,0,0,0,-33.969,-623.61
-1.0874,0.014031,-0.76406,0,0,0,-34.007,-739.5
-1,0.0043092,-0.75072,0,0,0,-33.989,-685.66
-0.99999,0.012876,-0.76546,0,0,0,-34.034,-819.49
-1.0125,0.012808,-0.76554,0,0,0,-34.027,-799.19
-1.0125,0.0042454,-0.75077,0,0,0,-33.984,-670.24
